time,n0v,n1v
0.1,-55.1027,18.1492
0.2,-55.2806,14.5666
0.3,-55.5335,8.82307
0.4,-55.8345,3.50293
0.5,-56.159,-1.07772
0.6,-56.4862,-5.1961
0.7,-56.8008,-9.08534
0.8,-57.098,-12.8717
0.9,-57.3817,-16.9364
1,-57.6526,-21.7796
1.1,-57.9096,-29.1009
1.2,-58.1566,-41.4284
1.3,-58.3875,-53.4751
1.4,-58.6048,-61.0669
1.5,-58.8122,-65.6957
1.6,-59.0041,-68.5853
1.7,-59.1865,-70.4346
1.8,-59.3562,-71.6348
1.9,-59.5178,-72.4232
2,-59.6686,-72.9398
2.1,-59.8112,-73.2777
2.2,-59.9427,-73.4984
2.3,-60.0654,-73.6259
2.4,-60.1788,-73.6957
2.5,-60.2847,-73.7189
2.6,-60.3808,-73.7166
2.7,-60.4704,-73.697
2.8,-60.553,-73.6564
2.9,-60.6282,-73.6148
3,-60.6968,-73.5599
3.1,-60.7613,-73.5012
3.2,-60.8183,-73.4324
3.3,-60.8711,-73.3666
3.4,-60.9163,-73.2997
3.5,-60.9578,-73.2286
3.6,-60.9953,-73.1627
3.7,-61.0285,-73.0982
3.8,-61.0574,-73.0303
3.9,-61.0808,-72.9675
4,-61.1023,-72.8983
4.1,-61.1203,-72.8258
4.2,-61.1358,-72.7622
4.3,-61.1473,-72.6985
4.4,-61.154,-72.6372
4.5,-61.1591,-72.5735
4.6,-61.1613,-72.5097
4.7,-61.1628,-72.4527
4.8,-61.1605,-72.388
4.9,-61.1554,-72.3278
5,-61.1473,-72.2687
5.1,-61.14,-72.2107
5.2,-61.1282,-72.1495
5.3,-61.1153,-72.0924
5.4,-61.1011,-72.0283
5.5,-61.0864,-71.9699
5.6,-61.0705,-71.9086
5.7,-61.0538,-71.8547
5.8,-61.0362,-71.8034
5.9,-61.014,-71.7476
6,-60.9929,-71.695
6.1,-60.9713,-71.6384
6.2,-60.9489,-71.5868
6.3,-60.9222,-71.5328
6.4,-60.8978,-71.4838
6.5,-60.8716,-71.4369
6.6,-60.8437,-71.3949
6.7,-60.8164,-71.3466
6.8,-60.787,-71.2968
6.9,-60.7572,-71.2486
7,-60.7272,-71.2073
7.1,-60.6983,-71.1564
7.2,-60.6677,-71.1113
7.3,-60.6373,-71.0668
7.4,-60.6037,-71.0284
7.5,-60.5726,-70.9834
7.6,-60.5405,-70.9415
7.7,-60.5063,-70.9044
7.8,-60.4734,-70.8698
7.9,-60.4404,-70.8354
8,-60.4067,-70.8026
8.1,-60.3735,-70.7635
8.2,-60.3422,-70.7261
8.3,-60.3091,-70.6895
8.4,-60.2756,-70.6515
8.5,-60.2407,-70.615
8.6,-60.2053,-70.5829
8.7,-60.1699,-70.5511
8.8,-60.1337,-70.5183
8.9,-60.0987,-70.4847
9,-60.0656,-70.454
9.1,-60.0294,-70.4221
9.2,-59.993,-70.3903
9.3,-59.9577,-70.3567
9.4,-59.9231,-70.3287
9.5,-59.8858,-70.303
9.6,-59.8527,-70.2755
9.7,-59.8197,-70.2433
9.8,-59.7817,-70.2212
