time,n0v,n1v
0.1,-55.0424,18.1492
0.2,-55.0531,14.5666
0.3,-55.0696,8.82307
0.4,-55.0915,3.50293
0.5,-55.1162,-1.07772
0.6,-55.1445,-5.1961
0.7,-55.1718,-9.08534
0.8,-55.1947,-12.8717
0.9,-55.2177,-16.9364
1,-55.2414,-21.7796
1.1,-55.2641,-29.1009
1.2,-55.2907,-41.4284
1.3,-55.3123,-53.4751
1.4,-55.3321,-61.0669
1.5,-55.3549,-65.6957
1.6,-55.3716,-68.5853
1.7,-55.3907,-70.4346
1.8,-55.4068,-71.6348
1.9,-55.4267,-72.4232
2,-55.4452,-72.9398
2.1,-55.4665,-73.2777
2.2,-55.4841,-73.4984
2.3,-55.5019,-73.6259
2.4,-55.518,-73.6957
2.5,-55.5351,-73.7189
2.6,-55.548,-73.7166
2.7,-55.5624,-73.697
2.8,-55.5765,-73.6564
2.9,-55.5888,-73.6148
3,-55.6002,-73.5599
3.1,-55.6156,-73.5012
3.2,-55.6266,-73.4324
3.3,-55.6404,-73.3666
3.4,-55.6481,-73.2997
3.5,-55.6583,-73.2286
3.6,-55.6695,-73.1627
3.7,-55.6804,-73.0982
3.8,-55.6908,-73.0303
3.9,-55.6973,-72.9675
4,-55.7073,-72.8983
4.1,-55.7173,-72.8258
4.2,-55.7288,-72.7622
4.3,-55.7379,-72.6985
4.4,-55.7423,-72.6372
4.5,-55.7493,-72.5735
4.6,-55.7552,-72.5097
4.7,-55.7652,-72.4527
4.8,-55.7711,-72.388
4.9,-55.7755,-72.3278
5,-55.777,-72.2687
5.1,-55.7851,-72.2107
5.2,-55.7864,-72.1495
5.3,-55.7888,-72.0924
5.4,-55.7918,-72.0283
5.5,-55.7968,-71.9699
5.6,-55.8021,-71.9086
5.7,-55.8087,-71.8547
5.8,-55.8158,-71.8034
5.9,-55.8146,-71.7476
6,-55.8183,-71.695
6.1,-55.8232,-71.6384
6.2,-55.8282,-71.5868
6.3,-55.8254,-71.5328
6.4,-55.8295,-71.4838
6.5,-55.8312,-71.4369
6.6,-55.8305,-71.3949
6.7,-55.8326,-71.3466
6.8,-55.8312,-71.2968
