time,n0v,n1v
20.5,-55.9565,-69.2293
20.6,-55.9407,-69.2296
20.7,-55.9209,-69.2327
20.8,-55.9023,-69.2342
20.9,-55.8862,-69.2353
21,-55.8755,-69.2398
21.1,-55.8546,-69.2413
21.2,-55.8404,-69.2452
21.3,-55.8229,-69.2463
21.4,-55.8078,-69.2515
21.5,-55.7919,-69.2556
21.6,-55.7785,-69.2614
21.7,-55.7623,-69.2673
21.8,-55.7429,-69.2708
21.9,-55.727,-69.2742
22,-55.7085,-69.2807
22.1,-55.6927,-69.2853
22.2,-55.6745,-69.2858
22.3,-55.6549,-69.2877
22.4,-55.6378,-69.2899
22.5,-55.6265,-69.2946
22.6,-55.6154,-69.3005
22.7,-55.5997,-69.3039
22.8,-55.5861,-69.3055
22.9,-55.5704,-69.3095
23,-55.5525,-69.3138
23.1,-55.5349,-69.3224
23.2,-55.5195,-69.3283
23.3,-55.5037,-69.3352
23.4,-55.4888,-69.3402
23.5,-55.4748,-69.3435
23.6,-55.4613,-69.3479
23.7,-55.446,-69.3544
23.8,-55.4307,-69.3604
23.9,-55.4148,-69.3687
24,-55.4007,-69.3717
24.1,-55.3899,-69.3725
24.2,-55.3737,-69.3797
24.3,-55.3597,-69.3885
24.4,-55.349,-69.393
24.5,-55.336,-69.3988
24.6,-55.3215,-69.4039
24.7,-55.3069,-69.4045
24.8,-55.2943,-69.4138
24.9,-55.2787,-69.4192
25,-55.2665,-69.4268
25.1,-55.2505,-69.4298
25.2,-55.237,-69.433
25.3,-55.2208,-69.4382
25.4,-55.2108,-69.4454
25.5,-55.1996,-69.4489
25.6,-55.187,-69.4538
25.7,-55.1769,-69.458
25.8,-55.1636,-69.4655
25.9,-55.1481,-69.4722
26,-55.1346,-69.4828
26.1,-55.1207,-69.49
26.2,-55.1084,-69.4975
26.3,-55.0956,-69.4999
26.4,-55.0806,-69.5027
26.5,-55.071,-69.508
26.6,-55.0601,-69.5133
26.7,-55.0484,-69.5167
26.8,-55.0316,-69.518
26.9,-55.0189,-69.5242
27,-55.0074,-69.531
27.1,-54.999,-69.5359
27.2,-54.988,-69.5407
27.3,-54.977,-69.5492
27.4,-54.9677,-69.5559
27.5,-54.9579,-69.561
27.6,-54.9404,-69.5659
27.7,-54.9273,-69.572
27.8,-54.916,-69.5762
27.9,-54.9053,-69.5821
28,-54.895,-69.5876
28.1,-54.8874,-69.5968
28.2,-54.8752,-69.6032
28.3,-54.8686,-69.6076
28.4,-54.8569,-69.6084
28.5,-54.85,-69.6099
28.6,-54.8386,-69.6161
28.7,-54.8274,-69.6201
28.8,-54.8174,-69.6282
28.9,-54.803,-69.6322
29,-54.7921,-69.6383
29.1,-54.7787,-69.6432
29.2,-54.7685,-69.6443
29.3,-54.7599,-69.6529
29.4,-54.7461,-69.6605
29.5,-54.7376,-69.6649
29.6,-54.7282,-69.674
29.7,-54.7163,-69.6796
