time,n0v,n1v
0.1,-55.0457,18.1492
0.2,-55.0655,14.5666
0.3,-55.0949,8.82307
0.4,-55.1323,3.50293
0.5,-55.1738,-1.07772
0.6,-55.2192,-5.1961
0.7,-55.2632,-9.08534
0.8,-55.3023,-12.8717
0.9,-55.3411,-16.9364
1,-55.3801,-21.7796
1.1,-55.4176,-29.1009
1.2,-55.4586,-41.4284
1.3,-55.4942,-53.4751
1.4,-55.5276,-61.0669
1.5,-55.5634,-65.6957
1.6,-55.5929,-68.5853
1.7,-55.6244,-70.4346
1.8,-55.6523,-71.6348
1.9,-55.6837,-72.4232
2,-55.7133,-72.9398
2.1,-55.7451,-73.2777
2.2,-55.7729,-73.4984
2.3,-55.8005,-73.6259
2.4,-55.8261,-73.6957
2.5,-55.8523,-73.7189
2.6,-55.8741,-73.7166
2.7,-55.8968,-73.697
2.8,-55.919,-73.6564
2.9,-55.939,-73.6148
3,-55.9579,-73.5599
3.1,-55.9803,-73.5012
3.2,-55.998,-73.4324
3.3,-56.0181,-73.3666
3.4,-56.032,-73.2997
3.5,-56.0481,-73.2286
3.6,-56.0648,-73.1627
3.7,-56.0809,-73.0982
3.8,-56.0962,-73.0303
3.9,-56.1075,-72.9675
4,-56.1219,-72.8983
4.1,-56.1359,-72.8258
4.2,-56.1512,-72.7622
4.3,-56.1639,-72.6985
4.4,-56.1719,-72.6372
4.5,-56.182,-72.5735
4.6,-56.1909,-72.5097
4.7,-56.2034,-72.4527
4.8,-56.2119,-72.388
4.9,-56.2186,-72.3278
5,-56.2224,-72.2687
5.1,-56.2323,-72.2107
5.2,-56.2355,-72.1495
5.3,-56.2396,-72.0924
5.4,-56.244,-72.0283
5.5,-56.2502,-71.9699
5.6,-56.2564,-71.9086
5.7,-56.2637,-71.8547
5.8,-56.2713,-71.8034
5.9,-56.2708,-71.7476
6,-56.2749,-71.695
6.1,-56.2799,-71.6384
6.2,-56.2849,-71.5868
6.3,-56.2823,-71.5328
6.4,-56.2862,-71.4838
6.5,-56.2876,-71.4369
6.6,-56.2865,-71.3949
6.7,-56.2881,-71.3466
6.8,-56.2862,-71.2968
6.9,-56.2843,-71.2486
7,-56.283,-71.2073
7.1,-56.2847,-71.1564
7.2,-56.2837,-71.1113
7.3,-56.2838,-71.0668
7.4,-56.2782,-71.0284
