time,n0v,n1v
0.1,-55.1353,18.1492
0.2,-55.4028,14.5666
0.3,-55.7806,8.82307
0.4,-56.2265,3.50293
0.5,-56.7031,-1.07772
0.6,-57.1778,-5.1961
0.7,-57.6299,-9.08534
0.8,-58.054,-12.8717
0.9,-58.4541,-16.9364
1,-58.831,-21.7796
1.1,-59.1844,-29.1009
1.2,-59.5179,-41.4284
1.3,-59.8271,-53.4751
1.4,-60.1147,-61.0669
1.5,-60.3841,-65.6957
1.6,-60.6317,-68.5853
1.7,-60.8626,-70.4346
1.8,-61.0751,-71.6348
1.9,-61.273,-72.4232
2,-61.455,-72.9398
2.1,-61.6235,-73.2777
2.2,-61.7769,-73.4984
2.3,-61.9175,-73.6259
2.4,-62.0453,-73.6957
2.5,-62.1621,-73.7189
2.6,-62.2669,-73.7166
2.7,-62.3621,-73.697
2.8,-62.4478,-73.6564
2.9,-62.5242,-73.6148
3,-62.5921,-73.5599
3.1,-62.6533,-73.5012
3.2,-62.7062,-73.4324
3.3,-62.7531,-73.3666
3.4,-62.7921,-73.2997
3.5,-62.8259,-73.2286
3.6,-62.8544,-73.1627
3.7,-62.8777,-73.0982
3.8,-62.8961,-73.0303
3.9,-62.9092,-72.9675
4,-62.9189,-72.8983
4.1,-62.9247,-72.8258
4.2,-62.9272,-72.7622
4.3,-62.9258,-72.6985
4.4,-62.9203,-72.6372
4.5,-62.9124,-72.5735
4.6,-62.9015,-72.5097
4.7,-62.889,-72.4527
4.8,-62.8733,-72.388
4.9,-62.855,-72.3278
5,-62.8341,-72.2687
5.1,-62.8128,-72.2107
5.2,-62.7882,-72.1495
5.3,-62.7622,-72.0924
5.4,-62.7349,-72.0283
5.5,-62.7067,-71.9699
5.6,-62.6773,-71.9086
5.7,-62.647,-71.8547
5.8,-62.6157,-71.8034
5.9,-62.5813,-71.7476
6,-62.5472,-71.695
6.1,-62.5126,-71.6384
6.2,-62.4772,-71.5868
6.3,-62.4389,-71.5328
6.4,-62.4019,-71.4838
6.5,-62.3636,-71.4369
6.6,-62.3241,-71.3949
6.7,-62.2849,-71.3466
6.8,-62.2441,-71.2968
6.9,-62.203,-71.2486
7,-62.1618,-71.2073
