time,n0v,n1v
0.1,-55.0473,18.1492
0.2,-55.0717,14.5666
0.3,-55.1075,8.82307
0.4,-55.1526,3.50293
0.5,-55.2026,-1.07772
0.6,-55.2564,-5.1961
0.7,-55.3087,-9.08534
0.8,-55.3559,-12.8717
0.9,-55.4025,-16.9364
1,-55.4491,-21.7796
1.1,-55.4939,-29.1009
1.2,-55.542,-41.4284
1.3,-55.5844,-53.4751
1.4,-55.6244,-61.0669
1.5,-55.6667,-65.6957
1.6,-55.7024,-68.5853
1.7,-55.7398,-70.4346
1.8,-55.7735,-71.6348
1.9,-55.8104,-72.4232
2,-55.8452,-72.9398
2.1,-55.8821,-73.2777
2.2,-55.9148,-73.4984
2.3,-55.9471,-73.6259
2.4,-55.9771,-73.6957
2.5,-56.0076,-73.7189
2.6,-56.0335,-73.7166
2.7,-56.0601,-73.697
2.8,-56.086,-73.6564
2.9,-56.1097,-73.6148
3,-56.1319,-73.5599
3.1,-56.1574,-73.5012
3.2,-56.1783,-73.4324
3.3,-56.2012,-73.3666
3.4,-56.2179,-73.2997
3.5,-56.2365,-73.2286
3.6,-56.2557,-73.1627
3.7,-56.274,-73.0982
3.8,-56.2914,-73.0303
3.9,-56.3048,-72.9675
4,-56.321,-72.8983
4.1,-56.3367,-72.8258
4.2,-56.3535,-72.7622
4.3,-56.3677,-72.6985
4.4,-56.3771,-72.6372
4.5,-56.3885,-72.5735
4.6,-56.3985,-72.5097
4.7,-56.412,-72.4527
4.8,-56.4214,-72.388
4.9,-56.429,-72.3278
5,-56.4337,-72.2687
5.1,-56.4441,-72.2107
5.2,-56.4479,-72.1495
5.3,-56.4525,-72.0924
5.4,-56.4574,-72.0283
5.5,-56.4638,-71.9699
5.6,-56.4702,-71.9086
5.7,-56.4776,-71.8547
5.8,-56.4852,-71.8034
5.9,-56.4849,-71.7476
6,-56.4888,-71.695
6.1,-56.4937,-71.6384
6.2,-56.4984,-71.5868
6.3,-56.4957,-71.5328
6.4,-56.4991,-71.4838
6.5,-56.5002,-71.4369
6.6,-56.4988,-71.3949
6.7,-56.4998,-71.3466
6.8,-56.4975,-71.2968
6.9,-56.4951,-71.2486
7,-56.4932,-71.2073
7.1,-56.4942,-71.1564
7.2,-56.4926,-71.1113
7.3,-56.4919,-71.0668
7.4,-56.4856,-71.0284
7.5,-56.4844,-70.9834
7.6,-56.4818,-70.9415
7.7,-56.4756,-70.9044
7.8,-56.4723,-70.8698
7.9,-56.4688,-70.8354
8,-56.4646,-70.8026
8.1,-56.4612,-70.7635
8.2,-56.4617,-70.7261
8.3,-56.4591,-70.6895
8.4,-56.4558,-70.6515
8.5,-56.4501,-70.615
8.6,-56.4437,-70.5829
8.7,-56.4372,-70.5511
8.8,-56.4293,-70.5183
8.9,-56.4237,-70.4847
9,-56.4211,-70.454
9.1,-56.4133,-70.4221
9.2,-56.4051,-70.3903
9.3,-56.3987,-70.3567
9.4,-56.3932,-70.3287
9.5,-56.3833,-70.303
9.6,-56.3802,-70.2755
9.7,-56.3773,-70.2433
9.8,-56.3658,-70.2212
9.9,-56.3557,-70.1957
10,-56.3514,-70.1665
10.1,-56.3419,-70.1385
10.2,-56.3306,-70.11
10.3,-56.3246,-70.0825
10.4,-56.3197,-70.0585
10.5,-56.311,-70.0363
10.6,-56.2997,-70.0151
10.7,-56.2894,-69.9917
10.8,-56.2778,-69.9712
10.9,-56.2714,-69.9483
11,-56.2631,-69.928
11.1,-56.254,-69.9044
11.2,-56.248,-69.8847
11.3,-56.239,-69.8631
11.4,-56.2312,-69.8449
11.5,-56.2224,-69.8215
11.6,-56.2149,-69.7994
11.7,-56.2037,-69.7777
11.8,-56.1942,-69.7615
11.9,-56.1841,-69.7437
12,-56.1787,-69.7257
12.1,-56.1717,-69.7149
12.2,-56.1592,-69.6957
12.3,-56.1536,-69.679
12.4,-56.1447,-69.6628
12.5,-56.1366,-69.6473
12.6,-56.129,-69.6294
12.7,-56.1225,-69.6129
12.8,-56.1147,-69.5964
12.9,-56.1058,-69.58
13,-56.0981,-69.5642
13.1,-56.0923,-69.5482
13.2,-56.0817,-69.5365
13.3,-56.0714,-69.5237
13.4,-56.0609,-69.514
13.5,-56.0555,-69.4974
13.6,-56.0451,-69.484
13.7,-56.0378,-69.4751
13.8,-56.0284,-69.4616
13.9,-56.0176,-69.4507
14,-56.009,-69.4393
14.1,-55.9991,-69.427
14.2,-55.9862,-69.4183
14.3,-55.9776,-69.4073
14.4,-55.9713,-69.3976
14.5,-55.9568,-69.3887
14.6,-55.9448,-69.3758
14.7,-55.935,-69.366
14.8,-55.9271,-69.3572
14.9,-55.9131,-69.3483
15,-55.9027,-69.3406
15.1,-55.8925,-69.3299
15.2,-55.8815,-69.3207
15.3,-55.875,-69.3168
15.4,-55.8643,-69.3124
15.5,-55.8548,-69.3017
15.6,-55.8465,-69.2967
15.7,-55.8368,-69.2931
15.8,-55.8276,-69.2854
15.9,-55.8202,-69.2813
16,-55.8109,-69.271
16.1,-55.7992,-69.2645
16.2,-55.7885,-69.2584
16.3,-55.7773,-69.2539
16.4,-55.7692,-69.2472
16.5,-55.7585,-69.2464
16.6,-55.7479,-69.2393
16.7,-55.7407,-69.2347
16.8,-55.7291,-69.2301
16.9,-55.7183,-69.228
