time,n0v,n1v
0.1,-55.0408,18.1492
0.2,-55.047,14.5666
0.3,-55.0569,8.82307
0.4,-55.0711,3.50293
0.5,-55.0874,-1.07772
0.6,-55.1071,-5.1961
0.7,-55.126,-9.08534
0.8,-55.1407,-12.8717
0.9,-55.1557,-16.9364
1,-55.1716,-21.7796
1.1,-55.1868,-29.1009
1.2,-55.2061,-41.4284
1.3,-55.2206,-53.4751
1.4,-55.2335,-61.0669
1.5,-55.2495,-65.6957
1.6,-55.2597,-68.5853
1.7,-55.2725,-70.4346
1.8,-55.2824,-71.6348
1.9,-55.2964,-72.4232
2,-55.3092,-72.9398
2.1,-55.3249,-73.2777
2.2,-55.3371,-73.4984
2.3,-55.3497,-73.6259
2.4,-55.3608,-73.6957
2.5,-55.3731,-73.7189
2.6,-55.3813,-73.7166
2.7,-55.3911,-73.697
2.8,-55.4009,-73.6564
2.9,-55.409,-73.6148
3,-55.4163,-73.5599
3.1,-55.4279,-73.5012
3.2,-55.4352,-73.4324
3.3,-55.4454,-73.3666
3.4,-55.4496,-73.2997
3.5,-55.4565,-73.2286
3.6,-55.4647,-73.1627
3.7,-55.4725,-73.0982
3.8,-55.4801,-73.0303
3.9,-55.4838,-72.9675
4,-55.4913,-72.8983
4.1,-55.4988,-72.8258
4.2,-55.508,-72.7622
4.3,-55.515,-72.6985
4.4,-55.5173,-72.6372
4.5,-55.5222,-72.5735
4.6,-55.5262,-72.5097
4.7,-55.5346,-72.4527
4.8,-55.5389,-72.388
4.9,-55.5416,-72.3278
5,-55.5416,-72.2687
5.1,-55.5485,-72.2107
5.2,-55.5484,-72.1495
5.3,-55.5497,-72.0924
5.4,-55.5516,-72.0283
5.5,-55.5557,-71.9699
5.6,-55.5601,-71.9086
5.7,-55.566,-71.8547
5.8,-55.5725,-71.8034
5.9,-55.5706,-71.7476
6,-55.5738,-71.695
6.1,-55.5783,-71.6384
6.2,-55.583,-71.5868
6.3,-55.5798,-71.5328
6.4,-55.5837,-71.4838
6.5,-55.5853,-71.4369
6.6,-55.5844,-71.3949
6.7,-55.5865,-71.3466
6.8,-55.5851,-71.2968
6.9,-55.5839,-71.2486
7,-55.5834,-71.2073
7.1,-55.5865,-71.1564
7.2,-55.5868,-71.1113
7.3,-55.5884,-71.0668
7.4,-55.584,-71.0284
7.5,-55.5855,-70.9834
7.6,-55.5857,-70.9415
7.7,-55.5819,-70.9044
7.8,-55.5816,-70.8698
7.9,-55.5813,-70.8354
8,-55.5803,-70.8026
8.1,-55.5805,-70.7635
8.2,-55.585,-70.7261
8.3,-55.5863,-70.6895
8.4,-55.5869,-70.6515
8.5,-55.5852,-70.615
8.6,-55.5827,-70.5829
8.7,-55.5802,-70.5511
8.8,-55.5765,-70.5183
8.9,-55.5752,-70.4847
9,-55.5774,-70.454
9.1,-55.574,-70.4221
9.2,-55.5703,-70.3903
