time,n0v,n1v
0.1,-55.1515,18.1492
0.2,-55.4636,14.5666
0.3,-55.9032,8.82307
0.4,-56.42,3.50293
0.5,-56.9701,-1.07772
0.6,-57.5151,-5.1961
0.7,-58.0316,-9.08534
0.8,-58.5142,-12.8717
0.9,-58.9668,-16.9364
1,-59.3906,-21.7796
1.1,-59.7857,-29.1009
1.2,-60.1557,-41.4284
1.3,-60.497,-53.4751
1.4,-60.8127,-61.0669
1.5,-61.1061,-65.6957
1.6,-61.3746,-68.5853
1.7,-61.6229,-70.4346
1.8,-61.8502,-71.6348
1.9,-62.0599,-72.4232
2,-62.2514,-72.9398
2.1,-62.427,-73.2777
2.2,-62.586,-73.4984
2.3,-62.7304,-73.6259
2.4,-62.8607,-73.6957
2.5,-62.9785,-73.7189
2.6,-63.0835,-73.7166
2.7,-63.1777,-73.697
2.8,-63.2616,-73.6564
2.9,-63.3355,-73.6148
3,-63.4003,-73.5599
3.1,-63.4575,-73.5012
3.2,-63.5062,-73.4324
3.3,-63.5481,-73.3666
3.4,-63.5824,-73.2997
3.5,-63.6109,-73.2286
3.6,-63.6338,-73.1627
3.7,-63.6513,-73.0982
3.8,-63.6637,-73.0303
3.9,-63.671,-72.9675
4,-63.6745,-72.8983
4.1,-63.674,-72.8258
4.2,-63.6701,-72.7622
4.3,-63.6624,-72.6985
4.4,-63.6509,-72.6372
4.5,-63.6368,-72.5735
4.6,-63.6199,-72.5097
4.7,-63.601,-72.4527
4.8,-63.5793,-72.388
4.9,-63.5551,-72.3278
5,-63.5286,-72.2687
5.1,-63.5012,-72.2107
5.2,-63.4711,-72.1495
5.3,-63.4395,-72.0924
5.4,-63.4067,-72.0283
5.5,-63.3729,-71.9699
5.6,-63.3379,-71.9086
5.7,-63.302,-71.8547
5.8,-63.2651,-71.8034
5.9,-63.2258,-71.7476
6,-63.1865,-71.695
6.1,-63.1467,-71.6384
6.2,-63.1062,-71.5868
6.3,-63.0633,-71.5328
6.4,-63.0214,-71.4838
6.5,-62.9783,-71.4369
6.6,-62.9343,-71.3949
6.7,-62.8904,-71.3466
6.8,-62.8453,-71.2968
6.9,-62.7999,-71.2486
7,-62.7543,-71.2073
7.1,-62.7093,-71.1564
7.2,-62.6633,-71.1113
7.3,-62.6174,-71.0668
7.4,-62.5698,-71.0284
7.5,-62.5235,-70.9834
7.6,-62.4767,-70.9415
7.7,-62.4287,-70.9044
7.8,-62.3816,-70.8698
7.9,-62.3343,-70.8354
8,-62.2868,-70.8026
8.1,-62.2396,-70.7635
8.2,-62.1936,-70.7261
8.3,-62.1465,-70.6895
8.4,-62.0993,-70.6515
8.5,-62.0514,-70.615
8.6,-62.0032,-70.5829
8.7,-61.955,-70.5511
8.8,-61.9065,-70.5183
8.9,-61.8589,-70.4847
9,-61.8125,-70.454
9.1,-61.7642,-70.4221
9.2,-61.7159,-70.3903
9.3,-61.6684,-70.3567
9.4,-61.6215,-70.3287
9.5,-61.5728,-70.303
9.6,-61.5271,-70.2755
9.7,-61.4816,-70.2433
9.8,-61.4327,-70.2212
9.9,-61.3845,-70.1957
10,-61.3389,-70.1665
10.1,-61.2912,-70.1385
10.2,-61.243,-70.11
10.3,-61.1972,-70.0825
10.4,-61.152,-70.0585
10.5,-61.1054,-70.0363
10.6,-61.0577,-70.0151
10.7,-61.0107,-69.9917
10.8,-60.9632,-69.9712
10.9,-60.9183,-69.9483
11,-60.8728,-69.928
11.1,-60.827,-69.9044
11.2,-60.7828,-69.8847
11.3,-60.7374,-69.8631
11.4,-60.6927,-69.8449
11.5,-60.6477,-69.8215
11.6,-60.6036,-69.7994
11.7,-60.5577,-69.7777
11.8,-60.5129,-69.7615
11.9,-60.468,-69.7437
12,-60.4256,-69.7257
12.1,-60.3826,-69.7149
12.2,-60.3369,-69.6957
12.3,-60.295,-69.679
12.4,-60.2515,-69.6628
12.5,-60.2086,-69.6473
12.6,-60.1661,-69.6294
12.7,-60.1244,-69.6129
12.8,-60.0822,-69.5964
12.9,-60.0394,-69.58
13,-59.9975,-69.5642
13.1,-59.9569,-69.5482
13.2,-59.9137,-69.5365
13.3,-59.8709,-69.5237
13.4,-59.828,-69.514
13.5,-59.7884,-69.4974
13.6,-59.746,-69.484
13.7,-59.7055,-69.4751
13.8,-59.664,-69.4616
13.9,-59.6218,-69.4507
14,-59.5811,-69.4393
14.1,-59.5398,-69.427
14.2,-59.4969,-69.4183
14.3,-59.4567,-69.4073
14.4,-59.4181,-69.3976
14.5,-59.3746,-69.3887
14.6,-59.3328,-69.3758
14.7,-59.2926,-69.366
14.8,-59.2538,-69.3572
14.9,-59.2112,-69.3483
15,-59.1711,-69.3406
15.1,-59.1314,-69.3299
15.2,-59.0912,-69.3207
15.3,-59.0541,-69.3168
15.4,-59.0144,-69.3124
15.5,-58.9757,-69.3017
15.6,-58.9379,-69.2967
15.7,-58.8993,-69.2931
15.8,-58.8612,-69.2854
15.9,-58.8244,-69.2813
16,-58.7865,-69.271
16.1,-58.7471,-69.2645
16.2,-58.7085,-69.2584
16.3,-58.6698,-69.2539
16.4,-58.6332,-69.2472
16.5,-58.5951,-69.2464
16.6,-58.5571,-69.2393
16.7,-58.5217,-69.2347
16.8,-58.4833,-69.2301
16.9,-58.4456,-69.228
17,-58.4068,-69.2259
17.1,-58.3705,-69.223
17.2,-58.334,-69.2214
17.3,-58.2991,-69.2196
17.4,-58.2629,-69.2136
17.5,-58.2287,-69.2138
17.6,-58.1935,-69.2123
17.7,-58.1565,-69.2109
17.8,-58.1253,-69.2082
17.9,-58.0906,-69.2054
18,-58.0551,-69.2052
18.1,-58.0201,-69.2071
18.2,-57.9831,-69.2045
18.3,-57.9544,-69.2047
18.4,-57.9233,-69.2058
18.5,-57.8885,-69.2043
18.6,-57.8534,-69.2055
18.7,-57.8196,-69.2077
18.8,-57.7862,-69.209
18.9,-57.7562,-69.2084
19,-57.7228,-69.2115
19.1,-57.6882,-69.2106
19.2,-57.6565,-69.2123
19.3,-57.6237,-69.2134
19.4,-57.5891,-69.2155
19.5,-57.556,-69.2214
19.6,-57.5206,-69.219
19.7,-57.4854,-69.2171
19.8,-57.4536,-69.2209
19.9,-57.4239,-69.2198
20,-57.3927,-69.2203
20.1,-57.3609,-69.2201
20.2,-57.328,-69.2224
20.3,-57.2978,-69.2262
20.4,-57.2662,-69.2309
20.5,-57.2327,-69.2293
20.6,-57.2021,-69.2296
20.7,-57.1683,-69.2327
20.8,-57.1353,-69.2342
20.9,-57.1048,-69.2353
21,-57.0789,-69.2398
21.1,-57.0442,-69.2413
21.2,-57.0154,-69.2452
21.3,-56.9838,-69.2463
21.4,-56.9543,-69.2515
21.5,-56.9241,-69.2556
21.6,-56.8962,-69.2614
21.7,-56.8659,-69.2673
21.8,-56.8329,-69.2708
21.9,-56.8029,-69.2742
22,-56.7707,-69.2807
22.1,-56.7409,-69.2853
22.2,-56.7092,-69.2858
22.3,-56.6762,-69.2877
22.4,-56.6455,-69.2899
22.5,-56.62,-69.2946
22.6,-56.5947,-69.3005
22.7,-56.5654,-69.3039
22.8,-56.538,-69.3055
