time,n0v,n1v
0.1,-55.049,18.1492
0.2,-55.0778,14.5666
0.3,-55.1201,8.82307
0.4,-55.173,3.50293
0.5,-55.2313,-1.07772
0.6,-55.2936,-5.1961
0.7,-55.3541,-9.08534
0.8,-55.4094,-12.8717
0.9,-55.4637,-16.9364
1,-55.5178,-21.7796
1.1,-55.5699,-29.1009
1.2,-55.6249,-41.4284
1.3,-55.6742,-53.4751
1.4,-55.7207,-61.0669
1.5,-55.7692,-65.6957
1.6,-55.811,-68.5853
1.7,-55.8542,-70.4346
1.8,-55.8936,-71.6348
1.9,-55.9359,-72.4232
2,-55.9759,-72.9398
2.1,-56.0176,-73.2777
2.2,-56.0551,-73.4984
2.3,-56.0918,-73.6259
2.4,-56.1262,-73.6957
2.5,-56.1608,-73.7189
2.6,-56.1906,-73.7166
2.7,-56.221,-73.697
2.8,-56.2504,-73.6564
2.9,-56.2774,-73.6148
3,-56.3029,-73.5599
3.1,-56.3313,-73.5012
3.2,-56.3551,-73.4324
3.3,-56.3806,-73.3666
3.4,-56.3999,-73.2997
3.5,-56.4209,-73.2286
3.6,-56.4423,-73.1627
3.7,-56.4626,-73.0982
3.8,-56.482,-73.0303
3.9,-56.4972,-72.9675
4,-56.5151,-72.8983
4.1,-56.5323,-72.8258
4.2,-56.5504,-72.7622
4.3,-56.5659,-72.6985
4.4,-56.5765,-72.6372
4.5,-56.5889,-72.5735
4.6,-56.5999,-72.5097
4.7,-56.6142,-72.4527
4.8,-56.6244,-72.388
4.9,-56.6326,-72.3278
5,-56.6379,-72.2687
5.1,-56.6488,-72.2107
5.2,-56.653,-72.1495
5.3,-56.658,-72.0924
5.4,-56.6631,-72.0283
5.5,-56.6697,-71.9699
5.6,-56.6761,-71.9086
5.7,-56.6834,-71.8547
5.8,-56.6908,-71.8034
5.9,-56.6905,-71.7476
6,-56.6942,-71.695
6.1,-56.6987,-71.6384
6.2,-56.7031,-71.5868
6.3,-56.7001,-71.5328
6.4,-56.7031,-71.4838
6.5,-56.7037,-71.4369
6.6,-56.7018,-71.3949
6.7,-56.7022,-71.3466
6.8,-56.6993,-71.2968
6.9,-56.6963,-71.2486
7,-56.6937,-71.2073
7.1,-56.694,-71.1564
7.2,-56.6915,-71.1113
7.3,-56.69,-71.0668
7.4,-56.683,-71.0284
7.5,-56.6809,-70.9834
7.6,-56.6774,-70.9415
7.7,-56.6703,-70.9044
7.8,-56.6661,-70.8698
7.9,-56.6617,-70.8354
8,-56.6564,-70.8026
8.1,-56.652,-70.7635
8.2,-56.6514,-70.7261
8.3,-56.6476,-70.6895
8.4,-56.6432,-70.6515
8.5,-56.6364,-70.615
8.6,-56.6289,-70.5829
8.7,-56.6213,-70.5511
8.8,-56.6123,-70.5183
8.9,-56.6055,-70.4847
9,-56.6016,-70.454
9.1,-56.5927,-70.4221
9.2,-56.5833,-70.3903
9.3,-56.5757,-70.3567
9.4,-56.569,-70.3287
9.5,-56.5579,-70.303
9.6,-56.5534,-70.2755
9.7,-56.5492,-70.2433
9.8,-56.5366,-70.2212
9.9,-56.5252,-70.1957
10,-56.5196,-70.1665
10.1,-56.5088,-70.1385
10.2,-56.4963,-70.11
10.3,-56.489,-70.0825
10.4,-56.4827,-70.0585
10.5,-56.4728,-70.0363
10.6,-56.4602,-70.0151
10.7,-56.4487,-69.9917
10.8,-56.4358,-69.9712
10.9,-56.4281,-69.9483
11,-56.4185,-69.928
11.1,-56.4081,-69.9044
11.2,-56.4007,-69.8847
11.3,-56.3904,-69.8631
11.4,-56.3813,-69.8449
11.5,-56.3712,-69.8215
11.6,-56.3624,-69.7994
11.7,-56.3499,-69.7777
11.8,-56.3391,-69.7615
11.9,-56.3277,-69.7437
12,-56.321,-69.7257
12.1,-56.3126,-69.7149
12.2,-56.2989,-69.6957
12.3,-56.2919,-69.679
12.4,-56.2817,-69.6628
12.5,-56.2723,-69.6473
12.6,-56.2634,-69.6294
12.7,-56.2556,-69.6129
12.8,-56.2465,-69.5964
12.9,-56.2362,-69.58
13,-56.2272,-69.5642
13.1,-56.22,-69.5482
13.2,-56.2082,-69.5365
13.3,-56.1967,-69.5237
13.4,-56.1849,-69.514
13.5,-56.1782,-69.4974
13.6,-56.1665,-69.484
13.7,-56.1579,-69.4751
13.8,-56.1473,-69.4616
13.9,-56.1352,-69.4507
14,-56.1253,-69.4393
14.1,-56.1142,-69.427
14.2,-56.1001,-69.4183
14.3,-56.0902,-69.4073
14.4,-56.0827,-69.3976
14.5,-56.067,-69.3887
14.6,-56.0538,-69.3758
14.7,-56.0428,-69.366
14.8,-56.0337,-69.3572
14.9,-56.0185,-69.3483
15,-56.007,-69.3406
15.1,-55.9956,-69.3299
15.2,-55.9835,-69.3207
15.3,-55.9757,-69.3168
15.4,-55.9638,-69.3124
15.5,-55.9532,-69.3017
15.6,-55.9437,-69.2967
15.7,-55.9329,-69.2931
15.8,-55.9225,-69.2854
15.9,-55.9139,-69.2813
16,-55.9035,-69.271
16.1,-55.8907,-69.2645
16.2,-55.8789,-69.2584
16.3,-55.8666,-69.2539
16.4,-55.8573,-69.2472
16.5,-55.8455,-69.2464
16.6,-55.8338,-69.2393
16.7,-55.8255,-69.2347
16.8,-55.8128,-69.2301
16.9,-55.801,-69.228
17,-55.7873,-69.2259
17.1,-55.777,-69.223
17.2,-55.7662,-69.2214
17.3,-55.7575,-69.2196
17.4,-55.7467,-69.2136
17.5,-55.7386,-69.2138
17.6,-55.729,-69.2123
17.7,-55.7169,-69.2109
17.8,-55.7123,-69.2082
17.9,-55.7029,-69.2054
18,-55.6923,-69.2052
18.1,-55.6821,-69.2071
18.2,-55.6694,-69.2045
18.3,-55.6674,-69.2047
18.4,-55.662,-69.2058
18.5,-55.6517,-69.2043
18.6,-55.641,-69.2055
18.7,-55.6317,-69.2077
18.8,-55.6228,-69.209
