time,n0v,n1v
0.1,-55.0864,18.1492
0.2,-55.2193,14.5666
0.3,-55.4089,8.82307
0.4,-55.636,3.50293
0.5,-55.8819,-1.07772
0.6,-56.1317,-5.1961
0.7,-56.373,-9.08534
0.8,-56.6014,-12.8717
0.9,-56.8208,-16.9364
1,-57.0319,-21.7796
1.1,-57.2334,-29.1009
1.2,-57.4295,-41.4284
1.3,-57.613,-53.4751
1.4,-57.7868,-61.0669
1.5,-57.9547,-65.6957
1.6,-58.1101,-68.5853
1.7,-58.2596,-70.4346
1.8,-58.3993,-71.6348
1.9,-58.5344,-72.4232
2,-58.6614,-72.9398
2.1,-58.7832,-73.2777
2.2,-58.896,-73.4984
2.3,-59.0023,-73.6259
2.4,-59.1015,-73.6957
2.5,-59.1953,-73.7189
2.6,-59.2807,-73.7166
2.7,-59.3616,-73.697
2.8,-59.437,-73.6564
2.9,-59.5064,-73.6148
3,-59.5704,-73.5599
3.1,-59.6321,-73.5012
3.2,-59.6869,-73.4324
3.3,-59.739,-73.3666
3.4,-59.7837,-73.2997
3.5,-59.826,-73.2286
3.6,-59.8653,-73.1627
3.7,-59.9009,-73.0982
3.8,-59.9329,-73.0303
3.9,-59.9596,-72.9675
4,-59.9853,-72.8983
4.1,-60.0081,-72.8258
4.2,-60.029,-72.7622
4.3,-60.0461,-72.6985
4.4,-60.0582,-72.6372
4.5,-60.0694,-72.5735
4.6,-60.0778,-72.5097
4.7,-60.0863,-72.4527
4.8,-60.0908,-72.388
4.9,-60.0925,-72.3278
5,-60.091,-72.2687
5.1,-60.0913,-72.2107
5.2,-60.0864,-72.1495
5.3,-60.0807,-72.0924
5.4,-60.074,-72.0283
5.5,-60.067,-71.9699
5.6,-60.0588,-71.9086
5.7,-60.0502,-71.8547
5.8,-60.0408,-71.8034
5.9,-60.0258,-71.7476
6,-60.0125,-71.695
6.1,-59.9989,-71.6384
6.2,-59.9844,-71.5868
6.3,-59.9649,-71.5328
6.4,-59.9484,-71.4838
6.5,-59.9299,-71.4369
6.6,-59.9094,-71.3949
6.7,-59.8898,-71.3466
6.8,-59.8676,-71.2968
6.9,-59.8451,-71.2486
7,-59.8223,-71.2073
7.1,-59.8011,-71.1564
7.2,-59.7778,-71.1113
7.3,-59.7547,-71.0668
7.4,-59.7279,-71.0284
7.5,-59.7041,-70.9834
7.6,-59.6791,-70.9415
7.7,-59.6515,-70.9044
7.8,-59.6257,-70.8698
7.9,-59.5995,-70.8354
8,-59.5726,-70.8026
8.1,-59.5462,-70.7635
8.2,-59.5221,-70.7261
8.3,-59.4959,-70.6895
8.4,-59.4691,-70.6515
