time,n0v,n1v
0.1,-55.119,18.1492
0.2,-55.3418,14.5666
0.3,-55.6573,8.82307
0.4,-56.0313,3.50293
0.5,-56.4327,-1.07772
0.6,-56.8349,-5.1961
0.7,-57.2197,-9.08534
0.8,-57.5821,-12.8717
0.9,-57.9259,-16.9364
1,-58.2519,-21.7796
1.1,-58.5595,-29.1009
1.2,-58.8521,-41.4284
1.3,-59.1246,-53.4751
1.4,-59.3797,-61.0669
1.5,-59.6207,-65.6957
1.6,-59.843,-68.5853
1.7,-60.0521,-70.4346
1.8,-60.2457,-71.6348
1.9,-60.4279,-72.4232
2,-60.5967,-72.9398
2.1,-60.7544,-73.2777
2.2,-60.899,-73.4984
2.3,-61.0326,-73.6259
2.4,-61.1552,-73.6957
2.5,-61.2683,-73.7189
2.6,-61.3704,-73.7166
2.7,-61.4644,-73.697
2.8,-61.55,-73.6564
2.9,-61.6271,-73.6148
3,-61.6966,-73.5599
3.1,-61.7605,-73.5012
3.2,-61.8164,-73.4324
3.3,-61.8671,-73.3666
3.4,-61.91,-73.2997
3.5,-61.9483,-73.2286
3.6,-61.9819,-73.1627
3.7,-62.0106,-73.0982
3.8,-62.0347,-73.0303
3.9,-62.0533,-72.9675
4,-62.0691,-72.8983
4.1,-62.0812,-72.8258
4.2,-62.0904,-72.7622
4.3,-62.0955,-72.6985
4.4,-62.0961,-72.6372
4.5,-62.0946,-72.5735
4.6,-62.0902,-72.5097
4.7,-62.0846,-72.4527
4.8,-62.0754,-72.388
4.9,-62.0636,-72.3278
5,-62.0488,-72.2687
5.1,-62.0343,-72.2107
5.2,-62.0157,-72.1495
5.3,-61.996,-72.0924
5.4,-61.9749,-72.0283
5.5,-61.9531,-71.9699
5.6,-61.93,-71.9086
5.7,-61.9061,-71.8547
5.8,-61.8813,-71.8034
5.9,-61.8525,-71.7476
6,-61.8244,-71.695
6.1,-61.7959,-71.6384
6.2,-61.7665,-71.5868
6.3,-61.7336,-71.5328
6.4,-61.7024,-71.4838
6.5,-61.6697,-71.4369
6.6,-61.6354,-71.3949
6.7,-61.6017,-71.3466
6.8,-61.5661,-71.2968
6.9,-61.5302,-71.2486
7,-61.4941,-71.2073
7.1,-61.4588,-71.1564
7.2,-61.4222,-71.1113
7.3,-61.3856,-71.0668
7.4,-61.3465,-71.0284
7.5,-61.3094,-70.9834
7.6,-61.2714,-70.9415
7.7,-61.2317,-70.9044
7.8,-61.1932,-70.8698
