time,n0v,n1v
17.9,-59.2516,-67.1006
18,-59.2076,-67.08
18.1,-59.1639,-67.0605
18.2,-59.1187,-67.039
18.3,-59.0805,-67.0188
18.4,-59.0402,-66.9992
18.5,-58.9969,-66.9785
18.6,-58.9534,-66.959
18.7,-58.911,-66.9402
18.8,-58.869,-66.921
18.9,-58.83,-66.901
19,-58.788,-66.8828
19.1,-58.7451,-66.8628
19.2,-58.7047,-66.8441
19.3,-58.6634,-66.8252
19.4,-58.6207,-66.8068
19.5,-58.5791,-66.7901
19.6,-58.5357,-66.77
19.7,-58.4926,-66.7502
19.8,-58.4523,-66.7329
19.9,-58.414,-66.7136
20,-58.3743,-66.6951
20.1,-58.3343,-66.6764
20.2,-58.2932,-66.6587
20.3,-58.2546,-66.6418
20.4,-58.2148,-66.6253
20.5,-58.1734,-66.6064
20.6,-58.1345,-66.5884
20.7,-58.0928,-66.5715
20.8,-58.052,-66.5541
20.9,-58.0134,-66.5366
21,-57.9788,-66.5205
21.1,-57.9365,-66.5034
21.2,-57.8995,-66.4872
21.3,-57.86,-66.4701
21.4,-57.8224,-66.4545
21.5,-57.7842,-66.4387
21.6,-57.7481,-66.4235
21.7,-57.7099,-66.4085
21.8,-57.6692,-66.3927
21.9,-57.6313,-66.377
22,-57.5915,-66.3623
22.1,-57.5539,-66.3472
22.2,-57.5146,-66.3308
22.3,-57.4741,-66.315
22.4,-57.4357,-66.2994
22.5,-57.4022,-66.2846
22.6,-57.3688,-66.2703
22.7,-57.3318,-66.2553
22.8,-57.2966,-66.2398
22.9,-57.2596,-66.2252
23,-57.2209,-66.2108
23.1,-57.1825,-66.1976
23.2,-57.146,-66.1837
23.3,-57.1094,-66.1702
23.4,-57.0734,-66.1563
23.5,-57.0383,-66.1421
23.6,-57.0037,-66.1282
23.7,-56.9677,-66.1149
23.8,-56.9317,-66.1016
23.9,-56.8952,-66.089
24,-56.8604,-66.0751
24.1,-56.8283,-66.0607
24.2,-56.7918,-66.048
24.3,-56.7572,-66.0358
24.4,-56.7254,-66.0226
24.5,-56.6917,-66.0098
24.6,-56.6568,-65.997
24.7,-56.6218,-65.9832
24.8,-56.5886,-65.9714
24.9,-56.5528,-65.9589
25,-56.5201,-65.9469
25.1,-56.484,-65.934
25.2,-56.4503,-65.9212
25.3,-56.4142,-65.909
25.4,-56.3836,-65.8972
25.5,-56.352,-65.8848
25.6,-56.3192,-65.8727
25.7,-56.2886,-65.8606
25.8,-56.2553,-65.8492
25.9,-56.22,-65.8377
26,-56.1865,-65.827
26.1,-56.1527,-65.8158
26.2,-56.1204,-65.8047
26.3,-56.0877,-65.7927
26.4,-56.0531,-65.7809
26.5,-56.0234,-65.7696
26.6,-55.9925,-65.7584
26.7,-55.9608,-65.747
26.8,-55.9246,-65.7353
26.9,-55.8922,-65.7244
27,-55.861,-65.7138
27.1,-55.8326,-65.7029
27.2,-55.8017,-65.6921
27.3,-55.771,-65.6818
27.4,-55.7418,-65.6715
27.5,-55.7122,-65.6609
27.6,-55.6755,-65.6504
27.7,-55.6428,-65.6401
27.8,-55.612,-65.6296
27.9,-55.5816,-65.6195
28,-55.5517,-65.6094
28.1,-55.5243,-65.5998
28.2,-55.4926,-65.5899
28.3,-55.4661,-65.5798
28.4,-55.435,-65.5694
28.5,-55.4083,-65.5591
28.6,-55.3773,-65.5494
28.7,-55.3467,-65.5396
28.8,-55.3171,-65.5303
28.9,-55.2833,-65.5206
29,-55.253,-65.5112
29.1,-55.2203,-65.5017
29.2,-55.1906,-65.4919
29.3,-55.1625,-65.483
29.4,-55.1294,-65.474
29.5,-55.1013,-65.4648
29.6,-55.0725,-65.456
29.7,-55.0412,-65.447
29.8,-55.014,-65.438
29.9,-54.9835,-65.4292
30,-54.9558,-65.4203
30.1,-54.9288,-65.4116
30.2,-54.8999,-65.4029
30.3,-54.8709,-65.3945
30.4,-54.8378,-65.3859
30.5,-54.8109,-65.3772
30.6,-54.7802,-65.3688
30.7,-54.7534,-65.36
30.8,-54.7236,-65.3515
30.9,-54.6934,-65.3433
31,-54.6654,-65.3349
31.1,-54.6348,-65.3267
31.2,-54.6045,-65.3187
31.3,-54.5727,-65.3106
31.4,-54.5463,-65.3026
31.5,-54.5179,-65.2946
31.6,-54.4857,-65.2866
31.7,-54.458,-65.2789
31.8,-54.4327,-65.2709
31.9,-54.4081,-65.2632
32,-54.3758,-65.2555
32.1,-54.3482,-65.2478
32.2,-54.3178,-65.2402
32.3,-54.2891,-65.2326
32.4,-54.2598,-65.2251
32.5,-54.2322,-65.2177
32.6,-54.2055,-65.2103
32.7,-54.1765,-65.2029
32.8,-54.1454,-65.1956
32.9,-54.1196,-65.1884
33,-54.093,-65.1811
33.1,-54.0655,-65.1739
33.2,-54.0349,-65.1669
33.3,-54.0096,-65.1599
33.4,-53.987,-65.1529
33.5,-53.9569,-65.146
33.6,-53.9305,-65.139
33.7,-53.9048,-65.1321
33.8,-53.8778,-65.1252
33.9,-53.848,-65.1184
34,-53.8202,-65.1116
34.1,-53.7974,-65.1048
34.2,-53.7735,-65.0982
34.3,-53.7476,-65.0916
34.4,-53.7228,-65.085
34.5,-53.6969,-65.0785
34.6,-53.6716,-65.0719
34.7,-53.6447,-65.0654
34.8,-53.6155,-65.059
34.9,-53.5849,-65.0527
35,-53.5591,-65.0463
35.1,-53.529,-65.0399
35.2,-53.5,-65.0337
35.3,-53.4717,-65.0275
35.4,-53.4423,-65.0213
35.5,-53.4139,-65.0151
35.6,-53.3881,-65.009
35.7,-53.3577,-65.0029
35.8,-53.3261,-64.9969
35.9,-53.2989,-64.9909
36,-53.273,-64.985
36.1,-53.2427,-64.979
36.2,-53.2129,-64.9732
36.3,-53.1825,-64.9673
36.4,-53.1558,-64.9615
36.5,-53.1301,-64.9557
36.6,-53.099,-64.95
36.7,-53.0716,-64.9443
36.8,-53.0433,-64.9386
36.9,-53.0144,-64.9329
37,-52.9895,-64.9274
37.1,-52.9553,-64.9218
37.2,-52.9323,-64.9163
37.3,-52.9036,-64.9108
37.4,-52.8794,-64.9054
37.5,-52.8472,-64.8999
37.6,-52.8123,-64.8946
37.7,-52.7813,-64.8892
37.8,-52.7491,-64.8839
37.9,-52.7209,-64.8786
38,-52.6911,-64.8733
38.1,-52.6593,-64.8681
38.2,-52.6274,-64.8629
38.3,-52.5988,-64.8577
38.4,-52.5707,-64.8525
38.5,-52.5437,-64.8474
38.6,-52.516,-64.8425
38.7,-52.49,-64.8374
38.8,-52.4569,-64.8325
38.9,-52.43,-64.8276
39,-52.4019,-64.8227
39.1,-52.3755,-64.8178
39.2,-52.3456,-64.813
39.3,-52.3131,-64.8082
39.4,-52.2858,-64.8033
39.5,-52.2545,-64.7985
39.6,-52.2238,-64.7938
39.7,-52.1885,-64.7891
39.8,-52.1548,-64.7845
39.9,-52.1283,-64.7799
40,-52.0946,-64.7753
40.1,-52.0614,-64.7707
40.2,-52.0279,-64.7662
40.3,-51.9952,-64.7618
40.4,-51.9595,-64.7572
40.5,-51.9205,-64.7525
40.6,-51.8857,-64.7477
40.7,-51.8524,-64.7433
40.8,-51.8162,-64.7388
40.9,-51.7803,-64.7345
41,-51.7508,-64.7304
41.1,-51.7137,-64.7258
41.2,-51.6834,-64.7214
41.3,-51.6451,-64.7171
41.4,-51.6102,-64.7127
41.5,-51.5698,-64.7082
41.6,-51.5316,-64.7039
41.7,-51.4949,-64.6997
41.8,-51.4564,-64.6955
41.9,-51.4204,-64.6915
42,-51.3777,-64.6875
42.1,-51.3383,-64.6836
42.2,-51.3023,-64.6797
42.3,-51.2652,-64.6758
42.4,-51.2244,-64.6718
42.5,-51.1834,-64.6679
42.6,-51.1403,-64.664
42.7,-51.0942,-64.66
42.8,-51.0532,-64.6561
42.9,-51.0132,-64.6518
43,-50.9673,-64.648
43.1,-50.9309,-64.6441
43.2,-50.888,-64.6404
43.3,-50.8414,-64.6368
43.4,-50.7902,-64.6329
43.5,-50.7341,-64.6291
43.6,-50.6829,-64.625
43.7,-50.6302,-64.6212
43.8,-50.5861,-64.6175
43.9,-50.5294,-64.6135
44,-50.4797,-64.6099
44.1,-50.4265,-64.6061
44.2,-50.3721,-64.6025
44.3,-50.3145,-64.5989
44.4,-50.2563,-64.5951
44.5,-50.1973,-64.5912
44.6,-50.137,-64.5874
44.7,-50.0736,-64.5839
44.8,-50.0153,-64.5801
44.9,-49.9496,-64.5769
45,-49.8861,-64.5735
45.1,-49.82,-64.5701
45.2,-49.7505,-64.5668
45.3,-49.6801,-64.5636
45.4,-49.6037,-64.56
45.5,-49.5273,-64.5567
45.6,-49.4471,-64.5537
45.7,-49.3628,-64.5502
45.8,-49.2804,-64.5467
45.9,-49.1978,-64.5433
46,-49.1079,-64.5399
46.1,-49.0178,-64.5369
46.2,-48.916,-64.5339
46.3,-48.8154,-64.5309
46.4,-48.708,-64.5278
46.5,-48.5978,-64.5243
46.6,-48.4883,-64.5213
46.7,-48.3736,-64.5185
46.8,-48.2476,-64.5153
46.9,-48.1185,-64.5122
47,-47.9878,-64.5088
47.1,-47.8525,-64.5054
47.2,-47.7113,-64.5025
47.3,-47.5596,-64.4994
47.4,-47.3926,-64.4964
47.5,-47.2191,-64.4939
47.6,-47.0293,-64.4912
47.7,-46.8327,-64.4884
47.8,-46.6228,-64.4857
47.9,-46.3965,-64.4832
48,-46.1661,-64.4801
48.1,-45.9131,-64.477
48.2,-45.6367,-64.474
48.3,-45.349,-64.4707
48.4,-45.0243,-64.4679
48.5,-44.6742,-64.4649
48.6,-44.2858,-64.462
48.7,-43.8593,-64.4592
48.8,-43.3923,-64.4566
48.9,-42.8742,-64.4537
49,-42.2892,-64.4506
49.1,-41.629,-64.4482
49.2,-40.8635,-64.4457
49.3,-39.9814,-64.443
49.4,-38.9529,-64.4406
49.5,-37.7314,-64.4379
49.6,-36.2579,-64.4351
49.7,-34.4365,-64.4324
49.8,-32.1125,-64.4297
49.9,-29.0487,-64.4272
50,-24.8257,-64.4253
50.1,-18.6264,-64.4226
50.2,-8.81625,-64.4196
50.3,7.24598,-64.3435
50.4,29.4552,-64.1492
50.5,45.9523,-63.9573
50.6,50.5263,-63.7659
50.7,50.7423,-63.5757
50.8,50.0324,-63.3875
50.9,48.8645,-63.1991
51,47.3338,-63.0118
51.1,45.3738,-62.8244
51.2,43.052,-62.6374
51.3,40.4123,-62.4546
51.4,37.438,-62.2725
51.5,34.2298,-62.0889
51.6,30.7861,-61.905
51.7,27.1808,-61.72
51.8,23.4337,-61.5371
51.9,19.6049,-61.354
52,15.7668,-61.1725
52.1,11.9466,-60.9887
52.2,8.19089,-60.8083
52.3,4.5213,-60.6252
52.4,0.982551,-60.4374
52.5,-2.38352,-60.2507
52.6,-5.63485,-60.0629
52.7,-8.73667,-59.8752
52.8,-11.72,-59.6927
52.9,-14.689,-59.5166
53,-17.7044,-59.3426
53.1,-20.8193,-59.1737
53.2,-24.1813,-59.0055
53.3,-27.9113,-58.8351
53.4,-32.2343,-58.6696
53.5,-37.3442,-58.4981
53.6,-43.3647,-58.3282
53.7,-50.1506,-58.1625
53.8,-57.0067,-57.9971
53.9,-63.0314,-57.8314
54,-67.8225,-57.663
54.1,-71.4845,-57.4956
54.2,-74.2495,-57.3282
54.3,-76.3234,-57.1584
54.4,-77.869,-56.9765
54.5,-79.0143,-56.7851
54.6,-79.8495,-56.5956
54.7,-80.4546,-56.3943
54.8,-80.874,-56.1852
54.9,-81.1521,-55.9699
55,-81.3097,-55.7388
55.1,-81.3838,-55.5008
55.2,-81.3851,-55.2508
55.3,-81.3295,-54.977
55.4,-81.2274,-54.6754
55.5,-81.0908,-54.3427
55.6,-80.9173,-53.9828
55.7,-80.7146,-53.5768
55.8,-80.4974,-53.103
55.9,-80.2587,-52.5547
56,-80.0088,-51.903
56.1,-79.7405,-51.0672
56.2,-79.4611,-49.9493
56.3,-79.1757,-48.2638
56.4,-78.8815,-45.0369
56.5,-78.583,-28.3233
56.6,-78.2848,51.3051
56.7,-78.0117,49.8108
56.8,-77.7629,42.2044
56.9,-77.5331,34.1891
57,-77.3221,27.2947
57.1,-77.127,21.6657
57.2,-76.9372,16.9285
57.3,-76.7612,12.8012
57.4,-76.5903,9.17003
57.5,-76.4282,5.84745
57.6,-76.2702,2.7131
57.7,-76.1132,-0.265985
57.8,-75.9729,-3.19458
57.9,-75.8275,-6.04102
58,-75.6837,-8.88825
58.1,-75.5434,-11.8557
58.2,-75.4063,-15.0042
58.3,-75.2702,-18.579
58.4,-75.1371,-23.3065
58.5,-75.0056,-30.9033
58.6,-74.8735,-43.3452
58.7,-74.7483,-54.4787
58.8,-74.6311,-61.4478
58.9,-74.5074,-65.7341
59,-74.3891,-68.4314
59.1,-74.273,-70.1576
59.2,-74.1561,-71.284
59.3,-74.0491,-72.0219
59.4,-73.9381,-72.4979
