time,n0v,n1v
0.1,-55.0441,18.1492
0.2,-55.0593,14.5666
0.3,-55.0822,8.82307
0.4,-55.1119,3.50293
0.5,-55.1451,-1.07772
0.6,-55.1819,-5.1961
0.7,-55.2175,-9.08534
0.8,-55.2486,-12.8717
0.9,-55.2795,-16.9364
1,-55.3109,-21.7796
1.1,-55.341,-29.1009
1.2,-55.3748,-41.4284
1.3,-55.4035,-53.4751
1.4,-55.4301,-61.0669
1.5,-55.4595,-65.6957
1.6,-55.4826,-68.5853
1.7,-55.508,-70.4346
1.8,-55.5301,-71.6348
1.9,-55.5558,-72.4232
2,-55.5799,-72.9398
2.1,-55.6065,-73.2777
2.2,-55.6294,-73.4984
2.3,-55.6521,-73.6259
2.4,-55.6731,-73.6957
2.5,-55.6948,-73.7189
2.6,-55.7123,-73.7166
2.7,-55.7309,-73.697
2.8,-55.7492,-73.6564
2.9,-55.7654,-73.6148
3,-55.7807,-73.5599
3.1,-55.7997,-73.5012
3.2,-55.8142,-73.4324
3.3,-55.8312,-73.3666
3.4,-55.8422,-73.2997
3.5,-55.8554,-73.2286
3.6,-55.8695,-73.1627
3.7,-55.8831,-73.0982
3.8,-55.8961,-73.0303
3.9,-55.9051,-72.9675
4,-55.9174,-72.8983
4.1,-55.9295,-72.8258
4.2,-55.943,-72.7622
4.3,-55.9541,-72.6985
4.4,-55.9604,-72.6372
4.5,-55.9691,-72.5735
4.6,-55.9766,-72.5097
4.7,-55.988,-72.4527
4.8,-55.9953,-72.388
4.9,-56.001,-72.3278
5,-56.0037,-72.2687
5.1,-56.0129,-72.2107
5.2,-56.0152,-72.1495
5.3,-56.0186,-72.0924
5.4,-56.0224,-72.0283
5.5,-56.0281,-71.9699
5.6,-56.0339,-71.9086
5.7,-56.041,-71.8547
5.8,-56.0484,-71.8034
5.9,-56.0477,-71.7476
6,-56.0517,-71.695
6.1,-56.0567,-71.6384
6.2,-56.0618,-71.5868
6.3,-56.0592,-71.5328
6.4,-56.0633,-71.4838
6.5,-56.0649,-71.4369
6.6,-56.0641,-71.3949
6.7,-56.066,-71.3466
6.8,-56.0645,-71.2968
6.9,-56.063,-71.2486
7,-56.0621,-71.2073
7.1,-56.0645,-71.1564
7.2,-56.0641,-71.1113
7.3,-56.0648,-71.0668
7.4,-56.0597,-71.0284
7.5,-56.0601,-70.9834
7.6,-56.0591,-70.9415
7.7,-56.0544,-70.9044
7.8,-56.0528,-70.8698
7.9,-56.0511,-70.8354
8,-56.0487,-70.8026
8.1,-56.0473,-70.7635
8.2,-56.05,-70.7261
8.3,-56.0494,-70.6895
8.4,-56.0482,-70.6515
8.5,-56.0447,-70.615
8.6,-56.0404,-70.5829
8.7,-56.036,-70.5511
8.8,-56.0303,-70.5183
8.9,-56.027,-70.4847
9,-56.0269,-70.454
9.1,-56.0214,-70.4221
9.2,-56.0155,-70.3903
9.3,-56.0115,-70.3567
9.4,-56.0086,-70.3287
9.5,-56.001,-70.303
9.6,-56.0005,-70.2755
9.7,-56.0004,-70.2433
9.8,-55.9913,-70.2212
9.9,-55.9836,-70.1957
10,-55.9821,-70.1665
10.1,-55.9751,-70.1385
10.2,-55.9663,-70.11
10.3,-55.9631,-70.0825
10.4,-55.9609,-70.0585
10.5,-55.9549,-70.0363
10.6,-55.9461,-70.0151
10.7,-55.9385,-69.9917
10.8,-55.9295,-69.9712
10.9,-55.9259,-69.9483
11,-55.9204,-69.928
11.1,-55.914,-69.9044
11.2,-55.9108,-69.8847
11.3,-55.9045,-69.8631
11.4,-55.8996,-69.8449
11.5,-55.8935,-69.8215
11.6,-55.8889,-69.7994
11.7,-55.8804,-69.7777
11.8,-55.8737,-69.7615
11.9,-55.8663,-69.7437
12,-55.8639,-69.7257
12.1,-55.8597,-69.7149
12.2,-55.8499,-69.6957
12.3,-55.8473,-69.679
12.4,-55.8412,-69.6628
12.5,-55.8359,-69.6473
