time,n0v,n1v
0.1,-55.0539,18.1492
0.2,-55.0963,14.5666
0.3,-55.158,8.82307
0.4,-55.2339,3.50293
0.5,-55.3172,-1.07772
0.6,-55.4047,-5.1961
0.7,-55.4899,-9.08534
0.8,-55.5689,-12.8717
0.9,-55.6463,-16.9364
1,-55.7225,-21.7796
1.1,-55.796,-29.1009
1.2,-55.8715,-41.4284
1.3,-55.9405,-53.4751
1.4,-56.0061,-61.0669
1.5,-56.0729,-65.6957
1.6,-56.1323,-68.5853
1.7,-56.1923,-70.4346
1.8,-56.2479,-71.6348
1.9,-56.3054,-72.4232
2,-56.3601,-72.9398
2.1,-56.4156,-73.2777
2.2,-56.4664,-73.4984
2.3,-56.5157,-73.6259
2.4,-56.5621,-73.6957
2.5,-56.6079,-73.7189
2.6,-56.6486,-73.7166
2.7,-56.6891,-73.697
2.8,-56.7282,-73.6564
2.9,-56.7643,-73.6148
3,-56.7983,-73.5599
3.1,-56.8346,-73.5012
3.2,-56.8658,-73.4324
3.3,-56.8982,-73.3666
3.4,-56.9242,-73.2997
3.5,-56.9513,-73.2286
3.6,-56.9782,-73.1627
3.7,-57.0036,-73.0982
3.8,-57.0276,-73.0303
3.9,-57.0473,-72.9675
4,-57.0691,-72.8983
4.1,-57.0898,-72.8258
4.2,-57.1109,-72.7622
4.3,-57.1292,-72.6985
4.4,-57.1425,-72.6372
4.5,-57.1572,-72.5735
4.6,-57.1701,-72.5097
4.7,-57.1858,-72.4527
4.8,-57.1973,-72.388
4.9,-57.2067,-72.3278
5,-57.2131,-72.2687
5.1,-57.2243,-72.2107
5.2,-57.2291,-72.1495
5.3,-57.2343,-72.0924
5.4,-57.2394,-72.0283
5.5,-57.2456,-71.9699
5.6,-57.2515,-71.9086
5.7,-57.2579,-71.8547
5.8,-57.2642,-71.8034
5.9,-57.263,-71.7476
6,-57.2655,-71.695
6.1,-57.2685,-71.6384
6.2,-57.2711,-71.5868
6.3,-57.2668,-71.5328
6.4,-57.2678,-71.4838
6.5,-57.2665,-71.4369
6.6,-57.2627,-71.3949
6.7,-57.2609,-71.3466
6.8,-57.2559,-71.2968
6.9,-57.2507,-71.2486
7,-57.2457,-71.2073
7.1,-57.2433,-71.1564
7.2,-57.2382,-71.1113
7.3,-57.2339,-71.0668
7.4,-57.2243,-71.0284
7.5,-57.2193,-70.9834
7.6,-57.2129,-70.9415
7.7,-57.203,-70.9044
7.8,-57.1958,-70.8698
7.9,-57.1883,-70.8354
8,-57.1799,-70.8026
8.1,-57.1723,-70.7635
8.2,-57.1681,-70.7261
8.3,-57.1609,-70.6895
8.4,-57.1531,-70.6515
8.5,-57.143,-70.615
8.6,-57.1321,-70.5829
8.7,-57.1211,-70.5511
8.8,-57.1088,-70.5183
8.9,-57.0985,-70.4847
9,-57.091,-70.454
9.1,-57.0786,-70.4221
9.2,-57.0657,-70.3903
9.3,-57.0545,-70.3567
9.4,-57.0442,-70.3287
9.5,-57.0296,-70.303
9.6,-57.0214,-70.2755
9.7,-57.0133,-70.2433
9.8,-56.9973,-70.2212
9.9,-56.9824,-70.1957
10,-56.973,-70.1665
10.1,-56.9587,-70.1385
10.2,-56.9427,-70.11
10.3,-56.9317,-70.0825
10.4,-56.9215,-70.0585
10.5,-56.908,-70.0363
10.6,-56.8919,-70.0151
10.7,-56.8768,-69.9917
10.8,-56.8605,-69.9712
10.9,-56.8491,-69.9483
11,-56.8358,-69.928
11.1,-56.8219,-69.9044
11.2,-56.8107,-69.8847
11.3,-56.7968,-69.8631
11.4,-56.784,-69.8449
11.5,-56.7703,-69.8215
11.6,-56.7579,-69.7994
11.7,-56.7418,-69.7777
11.8,-56.7275,-69.7615
11.9,-56.7126,-69.7437
12,-56.7022,-69.7257
12.1,-56.6901,-69.7149
12.2,-56.673,-69.6957
12.3,-56.6624,-69.679
12.4,-56.6486,-69.6628
12.5,-56.6356,-69.6473
12.6,-56.6232,-69.6294
12.7,-56.6117,-69.6129
12.8,-56.5991,-69.5964
12.9,-56.5853,-69.58
13,-56.5728,-69.5642
13.1,-56.562,-69.5482
13.2,-56.5468,-69.5365
13.3,-56.5318,-69.5237
13.4,-56.5167,-69.514
13.5,-56.5064,-69.4974
13.6,-56.4914,-69.484
13.7,-56.4793,-69.4751
13.8,-56.4654,-69.4616
13.9,-56.45,-69.4507
14,-56.4367,-69.4393
14.1,-56.4224,-69.427
14.2,-56.4051,-69.4183
14.3,-56.3918,-69.4073
14.4,-56.3809,-69.3976
14.5,-56.3621,-69.3887
14.6,-56.3458,-69.3758
14.7,-56.3316,-69.366
14.8,-56.3193,-69.3572
14.9,-56.301,-69.3483
15,-56.2863,-69.3406
15.1,-56.2719,-69.3299
15.2,-56.2566,-69.3207
15.3,-56.2456,-69.3168
15.4,-56.2307,-69.3124
15.5,-56.217,-69.3017
15.6,-56.2044,-69.2967
15.7,-56.1906,-69.2931
15.8,-56.1771,-69.2854
15.9,-56.1655,-69.2813
16,-56.1521,-69.271
16.1,-56.1363,-69.2645
16.2,-56.1216,-69.2584
16.3,-56.1064,-69.2539
16.4,-56.0941,-69.2472
16.5,-56.0795,-69.2464
16.6,-56.0649,-69.2393
16.7,-56.0536,-69.2347
16.8,-56.0381,-69.2301
16.9,-56.0235,-69.228
17,-56.007,-69.2259
17.1,-55.9939,-69.223
17.2,-55.9803,-69.2214
17.3,-55.9688,-69.2196
17.4,-55.9552,-69.2136
17.5,-55.9443,-69.2138
17.6,-55.9319,-69.2123
17.7,-55.9171,-69.2109
