time,n0v,n1v
0.1,-55.0376,18.1492
0.2,-55.0346,14.5666
0.3,-55.0316,8.82307
0.4,-55.0302,3.50293
0.5,-55.0296,-1.07772
0.6,-55.032,-5.1961
0.7,-55.034,-9.08534
0.8,-55.0322,-12.8717
0.9,-55.0311,-16.9364
1,-55.0314,-21.7796
1.1,-55.0312,-29.1009
1.2,-55.0357,-41.4284
1.3,-55.0357,-53.4751
1.4,-55.0344,-61.0669
1.5,-55.0367,-65.6957
1.6,-55.0334,-68.5853
1.7,-55.0331,-70.4346
1.8,-55.0302,-71.6348
1.9,-55.0319,-72.4232
2,-55.0327,-72.9398
2.1,-55.0368,-73.2777
2.2,-55.0377,-73.4984
2.3,-55.0394,-73.6259
2.4,-55.0398,-73.6957
2.5,-55.0418,-73.7189
2.6,-55.0399,-73.7166
2.7,-55.04,-73.697
2.8,-55.0404,-73.6564
2.9,-55.0393,-73.6148
3,-55.0378,-73.5599
3.1,-55.041,-73.5012
3.2,-55.04,-73.4324
3.3,-55.0423,-73.3666
3.4,-55.0387,-73.2997
3.5,-55.0382,-73.2286
3.6,-55.0392,-73.1627
3.7,-55.0403,-73.0982
3.8,-55.0413,-73.0303
3.9,-55.0385,-72.9675
4,-55.0399,-72.8983
4.1,-55.0416,-72.8258
4.2,-55.0454,-72.7622
4.3,-55.0471,-72.6985
4.4,-55.0441,-72.6372
4.5,-55.0441,-72.5735
4.6,-55.0434,-72.5097
4.7,-55.0475,-72.4527
4.8,-55.0475,-72.388
4.9,-55.0462,-72.3278
5,-55.0422,-72.2687
5.1,-55.0456,-72.2107
5.2,-55.0419,-72.1495
5.3,-55.0398,-72.0924
5.4,-55.0386,-72.0283
5.5,-55.0398,-71.9699
5.6,-55.0417,-71.9086
5.7,-55.0452,-71.8547
5.8,-55.0496,-71.8034
5.9,-55.0453,-71.7476
6,-55.0467,-71.695
6.1,-55.0495,-71.6384
6.2,-55.0527,-71.5868
6.3,-55.0477,-71.5328
6.4,-55.0505,-71.4838
6.5,-55.0509,-71.4369
6.6,-55.0488,-71.3949
6.7,-55.0501,-71.3466
6.8,-55.0478,-71.2968
6.9,-55.0459,-71.2486
7,-55.045,-71.2073
7.1,-55.0478,-71.1564
7.2,-55.0479,-71.1113
7.3,-55.0495,-71.0668
7.4,-55.0449,-71.0284
7.5,-55.0466,-70.9834
7.6,-55.047,-70.9415
7.7,-55.0435,-70.9044
7.8,-55.0437,-70.8698
7.9,-55.044,-70.8354
8,-55.0436,-70.8026
8.1,-55.0446,-70.7635
8.2,-55.0504,-70.7261
8.3,-55.0527,-70.6895
8.4,-55.0546,-70.6515
8.5,-55.054,-70.615
8.6,-55.0528,-70.5829
8.7,-55.0517,-70.5511
8.8,-55.0492,-70.5183
8.9,-55.0495,-70.4847
9,-55.0536,-70.454
9.1,-55.0518,-70.4221
9.2,-55.0497,-70.3903
9.3,-55.0499,-70.3567
9.4,-55.0514,-70.3287
