time,n0v,n1v
0.1,-55.0392,18.1492
0.2,-55.0408,14.5666
0.3,-55.0443,8.82307
0.4,-55.0507,3.50293
0.5,-55.0585,-1.07772
0.6,-55.0696,-5.1961
0.7,-55.08,-9.08534
0.8,-55.0865,-12.8717
0.9,-55.0935,-16.9364
1,-55.1016,-21.7796
1.1,-55.1092,-29.1009
1.2,-55.1211,-41.4284
1.3,-55.1284,-53.4751
1.4,-55.1342,-61.0669
1.5,-55.1435,-65.6957
1.6,-55.1469,-68.5853
1.7,-55.1533,-70.4346
1.8,-55.1569,-71.6348
1.9,-55.1648,-72.4232
2,-55.1716,-72.9398
2.1,-55.1817,-73.2777
2.2,-55.1883,-73.4984
2.3,-55.1955,-73.6259
2.4,-55.2014,-73.6957
2.5,-55.2087,-73.7189
2.6,-55.2119,-73.7166
2.7,-55.217,-73.697
2.8,-55.2222,-73.6564
2.9,-55.2258,-73.6148
3,-55.2289,-73.5599
3.1,-55.2364,-73.5012
3.2,-55.2397,-73.4324
3.3,-55.2461,-73.3666
3.4,-55.2465,-73.2997
3.5,-55.2499,-73.2286
3.6,-55.2547,-73.1627
3.7,-55.2593,-73.0982
3.8,-55.2637,-73.0303
3.9,-55.2643,-72.9675
4,-55.2689,-72.8983
4.1,-55.2737,-72.8258
4.2,-55.2804,-72.7622
4.3,-55.2849,-72.6985
4.4,-55.2847,-72.6372
4.5,-55.2874,-72.5735
4.6,-55.2892,-72.5097
4.7,-55.2955,-72.4527
4.8,-55.2979,-72.388
4.9,-55.2988,-72.3278
5,-55.2969,-72.2687
5.1,-55.3023,-72.2107
5.2,-55.3006,-72.1495
5.3,-55.3003,-72.0924
5.4,-55.3008,-72.0283
5.5,-55.3037,-71.9699
5.6,-55.307,-71.9086
5.7,-55.3119,-71.8547
5.8,-55.3175,-71.8034
5.9,-55.3146,-71.7476
6,-55.317,-71.695
6.1,-55.3208,-71.6384
6.2,-55.325,-71.5868
6.3,-55.3211,-71.5328
6.4,-55.3245,-71.4838
6.5,-55.3257,-71.4369
6.6,-55.3244,-71.3949
6.7,-55.3262,-71.3466
6.8,-55.3245,-71.2968
6.9,-55.3232,-71.2486
7,-55.3226,-71.2073
7.1,-55.3257,-71.1564
7.2,-55.3261,-71.1113
