time,n0v,n1v
18,-59.2073,-69.2052
18.1,-59.1637,-69.2071
18.2,-59.1185,-69.2045
18.3,-59.0802,-69.2047
18.4,-59.04,-69.2058
18.5,-58.9967,-69.2043
18.6,-58.9532,-69.2055
18.7,-58.9108,-69.2077
18.8,-58.8688,-69.209
18.9,-58.8297,-69.2084
19,-58.7877,-69.2115
19.1,-58.7449,-69.2106
19.2,-58.7044,-69.2123
19.3,-58.6631,-69.2134
19.4,-58.6204,-69.2155
19.5,-58.5789,-69.2214
19.6,-58.5355,-69.219
19.7,-58.4923,-69.2171
19.8,-58.4521,-69.2209
19.9,-58.4138,-69.2198
20,-58.3741,-69.2203
20.1,-58.3341,-69.2201
20.2,-58.293,-69.2224
20.3,-58.2544,-69.2262
20.4,-58.2146,-69.2309
20.5,-58.1732,-69.2293
20.6,-58.1343,-69.2296
20.7,-58.0926,-69.2327
20.8,-58.0518,-69.2342
20.9,-58.0131,-69.2353
21,-57.9786,-69.2398
21.1,-57.9363,-69.2413
21.2,-57.8992,-69.2452
21.3,-57.8597,-69.2463
21.4,-57.8222,-69.2515
21.5,-57.784,-69.2556
21.6,-57.7479,-69.2614
21.7,-57.7097,-69.2673
21.8,-57.669,-69.2708
21.9,-57.6311,-69.2742
22,-57.5913,-69.2807
22.1,-57.5537,-69.2853
22.2,-57.5144,-69.2858
22.3,-57.4739,-69.2877
22.4,-57.4356,-69.2899
22.5,-57.402,-69.2946
22.6,-57.3686,-69.3005
22.7,-57.3316,-69.3039
22.8,-57.2964,-69.3055
22.9,-57.2594,-69.3095
23,-57.2207,-69.3138
23.1,-57.1824,-69.3224
23.2,-57.1459,-69.3283
23.3,-57.1092,-69.3352
23.4,-57.0733,-69.3402
23.5,-57.0382,-69.3435
23.6,-57.0036,-69.3479
23.7,-56.9676,-69.3544
23.8,-56.9316,-69.3604
23.9,-56.8951,-69.3687
24,-56.8602,-69.3717
24.1,-56.8282,-69.3725
24.2,-56.7916,-69.3797
24.3,-56.757,-69.3885
24.4,-56.7252,-69.393
24.5,-56.6916,-69.3988
24.6,-56.6566,-69.4039
24.7,-56.6217,-69.4045
24.8,-56.5884,-69.4138
24.9,-56.5527,-69.4192
25,-56.5199,-69.4268
25.1,-56.4839,-69.4298
25.2,-56.4501,-69.433
25.3,-56.4141,-69.4382
25.4,-56.3835,-69.4454
25.5,-56.3519,-69.4489
25.6,-56.319,-69.4538
25.7,-56.2885,-69.458
25.8,-56.2551,-69.4655
25.9,-56.2198,-69.4722
26,-56.1864,-69.4828
26.1,-56.1526,-69.49
26.2,-56.1203,-69.4975
26.3,-56.0876,-69.4999
26.4,-56.053,-69.5027
26.5,-56.0232,-69.508
26.6,-55.9924,-69.5133
26.7,-55.9607,-69.5167
26.8,-55.9245,-69.518
26.9,-55.8921,-69.5242
27,-55.8608,-69.531
27.1,-55.8325,-69.5359
27.2,-55.8016,-69.5407
27.3,-55.7709,-69.5492
27.4,-55.7417,-69.5559
27.5,-55.7121,-69.561
27.6,-55.6754,-69.5659
27.7,-55.6427,-69.572
27.8,-55.6119,-69.5762
27.9,-55.5815,-69.5821
28,-55.5516,-69.5876
28.1,-55.5242,-69.5968
28.2,-55.4925,-69.6032
28.3,-55.466,-69.6076
28.4,-55.4349,-69.6084
28.5,-55.4082,-69.6099
28.6,-55.3773,-69.6161
28.7,-55.3466,-69.6201
28.8,-55.317,-69.6282
28.9,-55.2833,-69.6322
29,-55.253,-69.6383
29.1,-55.2202,-69.6432
29.2,-55.1905,-69.6443
29.3,-55.1624,-69.6529
29.4,-55.1293,-69.6605
29.5,-55.1012,-69.6649
29.6,-55.0724,-69.674
29.7,-55.0411,-69.6796
29.8,-55.0139,-69.6838
29.9,-54.9834,-69.6906
30,-54.9557,-69.6948
30.1,-54.9287,-69.7014
30.2,-54.8999,-69.7072
